Monad,Species
SD9801,Metzgeria violacea
SD9801,Mnium hornum
SD9801,Orthotrichum affine
SD9801,Orthotrichum anomalum
SD9801,Orthotrichum pulchellum
SD9801,Oxyrrhynchium hians
SD9801,Pellia endiviifolia
SD9801,Pellia epiphylla
SD9801,Plagiothecium undulatum
SD9801,Pogonatum aloides
SD9801,Pohlia nutans
SD9801,Polytrichum commune
SD9801,Polytrichum juniperinum
SD9801,Polytrichum piliferum
SD9801,Pseudoscleropodium purum
SD9801,Pseudotaxiphyllum elegans
SD9801,Racomitrium aciculare
SD9801,Radula complanata
SD9801,Rhizomnium punctatum
SD9801,Rhynchostegium confertum
SD9801,Rhynchostegium riparioides
SD9801,Rhytidiadelphus squarrosus
SD9801,Scapania undulata
SD9801,Schistidium crassipilum
SD9801,Solenostoma gracillimum
SD9801,Sphagnum squarrosum
SD9801,Tetraphis pellucida
SD9801,Tortula muralis
SD9801,Ulota bruchii
SD9801,Ulota phyllantha
SD9802,Brachythecium rutabulum
SD9802,Bryum argenteum
SD9802,Bryum capillare
SD9802,Calliergonella cuspidata
SD9802,Campylopus introflexus
SD9802,Dicranella heteromalla
SD9802,Dicranoweisia cirrata
SD9802,Grimmia pulvinata
SD9802,Hypnum cupressiforme
SD9802,Hypnum jutlandicum
SD9802,Kindbergia praelonga
SD9802,Lophocolea bidentata
SD9802,Metzgeria furcata
SD9802,Metzgeria violacea
SD9802,Orthotrichum affine
SD9802,Plagiothecium undulatum
SD9802,Pleurozium schreberi
SD9802,Polytrichum piliferum
SD9802,Pseudotaxiphyllum elegans
SD9802,Rhynchostegium confertum
SD9802,Rhytidiadelphus squarrosus
SD9802,Sphagnum denticulatum
SD9802,Sphagnum fimbriatum
SD9802,Ulota bruchii
SD9802,Ulota phyllantha
SD9803,Amblystegium serpens
SD9803,Brachythecium rutabulum
SD9803,Frullania dilatata
SD9803,Kindbergia praelonga
SD9803,Lophocolea bidentata
SD9803,Metzgeria furcata
SD9803,Metzgeria violacea
SD9803,Microlejeunea ulicina
SD9803,Orthotrichum affine
SD9803,Plagiomnium undulatum
SD9803,Rhizomnium punctatum
SD9803,Rhynchostegium confertum
SD9900,Brachythecium rutabulum
SD9900,Bryum argenteum
SD9900,Calliergonella cuspidata
SD9900,Campylopus introflexus
SD9900,Hypnum cupressiforme
SD9900,Hypnum jutlandicum
SD9900,Kindbergia praelonga
SD9900,Lophocolea bidentata
SD9900,Orthotrichum affine
SD9900,Pseudotaxiphyllum elegans
SD9900,Rhytidiadelphus squarrosus
SD9900,Ulota bruchii
SD9901,Amblystegium serpens
SD9901,Atrichum undulatum
SD9901,Brachythecium rutabulum
SD9901,Bryoerythrophyllum recurvirostrum
SD9901,Bryum capillare
SD9901,Calliergonella cuspidata
SD9901,Calypogeia muelleriana
SD9901,Campylopus flexuosus
SD9901,Campylopus introflexus
SD9901,Ceratodon purpureus
SD9901,Dicranella heteromalla
SD9901,Dicranoweisia cirrata
SD9901,Dicranum scoparium
SD9901,Encalypta streptocarpa
SD9901,Frullania dilatata
SD9901,Grimmia pulvinata
SD9901,Gymnocolea inflata
SD9901,Homalothecium sericeum
SD9901,Hypnum andoi
SD9901,Hypnum cupressiforme
SD9901,Hypnum jutlandicum
SD9901,Kindbergia praelonga
SD9901,Lophocolea bidentata
SD9901,Lophocolea heterophylla
SD9901,Metzgeria furcata
SD9901,Metzgeria violacea
SD9901,Mnium hornum
SD9901,Orthotrichum affine
SD9901,Orthotrichum pulchellum
SD9901,Pellia epiphylla
SD9901,Philonotis fontana
SD9901,Plagiothecium undulatum
SD9901,Pogonatum urnigerum
SD9901,Polytrichum commune
SD9901,Polytrichum juniperinum
SD9901,Pseudotaxiphyllum elegans
SD9901,Rhytidiadelphus squarrosus
SD9901,Scapania undulata
SD9901,Sphagnum denticulatum
SD9901,Sphagnum fallax
SD9901,Sphagnum fimbriatum
SD9901,Sphagnum squarrosum
SD9901,Sphagnum subnitens
SD9901,Ulota bruchii
SD9901,Ulota phyllantha
SD9902,Amblystegium serpens
SD9902,Atrichum undulatum
SD9902,Barbula convoluta
SD9902,Brachythecium rutabulum
SD9902,Bryum archangelicum
SD9902,Bryum capillare
SD9902,Calliergonella cuspidata
SD9902,Calypogeia muelleriana
SD9902,Campylopus flexuosus
SD9902,Campylopus introflexus
SD9902,Cephalozia bicuspidata
SD9902,Ceratodon purpureus
SD9902,Dicranella heteromalla
SD9902,Dicranella varia
SD9902,Dicranodontium denudatum
SD9902,Dicranoweisia cirrata
SD9902,Dicranum scoparium
SD9902,Didymodon fallax
SD9902,Diplophyllum albicans
SD9902,Grimmia pulvinata
SD9902,Gymnocolea inflata
SD9902,Homalothecium sericeum
SD9902,Hyocomium armoricum
SD9902,Hypnum cupressiforme
SD9902,Hypnum jutlandicum
SD9902,Kindbergia praelonga
SD9902,Lepidozia reptans
SD9902,Lophocolea bidentata
SD9902,Lophocolea heterophylla
SD9902,Metzgeria furcata
SD9902,Nardia compressa
SD9902,Orthodontium lineare
SD9902,Orthotrichum affine
SD9902,Pellia epiphylla
SD9902,Plagiomnium undulatum
SD9902,Plagiothecium curvifolium
SD9902,Plagiothecium undulatum
SD9902,Pogonatum aloides
SD9902,Pogonatum urnigerum
SD9902,Pohlia nutans
SD9902,Polytrichum commune
SD9902,Polytrichum formosum
SD9902,Polytrichum piliferum
SD9902,Pseudotaxiphyllum elegans
SD9902,Rhytidiadelphus squarrosus
SD9902,Scapania undulata
SD9902,Schistidium crassipilum
SD9902,Sphagnum fallax
SD9902,Sphagnum fimbriatum
SD9902,Sphagnum palustre
SD9902,Sphagnum subnitens
SD9902,Tetraphis pellucida
SD9902,Tortula muralis
SD9902,Ulota bruchii
SD9902,Warnstorfia fluitans
SE0001,Nardia compressa
SE0501,Atrichum undulatum
SE0501,Aulacomnium androgynum
SE0501,Bazzania trilobata
SE0501,Kurzia trichoclados
SE0501,Mylia taylorii
SE0501,Ulota bruchii
SE0502,Barbilophozia floerkei
SE0502,Brachythecium rutabulum
SE0502,Calypogeia muelleriana
SE0502,Campylopus flexuosus
SE0502,Campylopus introflexus
SE0502,Cephalozia bicuspidata
SE0502,Ceratodon purpureus
SE0502,Dicranella heteromalla
SE0502,Diplophyllum albicans
SE0502,Gymnocolea inflata
SE0502,Hypnum jutlandicum
SE0502,Kurzia trichoclados
SE0502,Lophozia ventricosa
SE0502,Nardia compressa
SE0502,Pellia epiphylla
SE0502,Pohlia nutans
SE0502,Polytrichum commune
SE0502,Polytrichum formosum
SE0502,Polytrichum piliferum
SE0502,Pseudoscleropodium purum
SE0502,Pseudotaxiphyllum elegans
SE0502,Rhytidiadelphus squarrosus
SE0502,Scapania undulata
SE0502,Sphagnum capillifolium
SE0502,Sphagnum denticulatum
SE0502,Sphagnum fallax
SE0502,Sphagnum fimbriatum
SE0502,Sphagnum papillosum
SE0502,Tetraphis pellucida
SE0600,Kurzia trichoclados
SE0600,Lophozia ventricosa
SE0600,Sarmentypnum exannulatum
SE0600,Scapania gracilis
SE0600,Scapania umbrosa
SE0600,Sphagnum angustifolium
SE0602,Amphidium mougeotii
SE0602,Aneura pinguis
SE0602,Atrichum undulatum
SE0602,Aulacomnium palustre
SE0602,Blindia acuta
SE0602,Brachythecium rivulare
SE0602,Bryum pseudotriquetrum
SE0602,Calliergonella cuspidata
SE0602,Campylopus flexuosus
SE0602,Campylopus introflexus
SE0602,Cephalozia bicuspidata
SE0602,Dichodontium palustre
SE0602,Dichodontium pellucidum
SE0602,Dicranella heteromalla
SE0602,Diplophyllum albicans
SE0602,Ditrichum heteromallum
SE0602,Hygrohypnum ochraceum
SE0602,Hyocomium armoricum
SE0602,Hypnum jutlandicum
SE0602,Mnium hornum
SE0602,Nardia compressa
SE0602,Nardia scalaris
SE0602,Pellia epiphylla
SE0602,Philonotis fontana
SE0602,Pogonatum aloides
SE0602,Pogonatum urnigerum
SE0602,Pohlia nutans
SE0602,Polytrichum commune
SE0602,Polytrichum formosum
SE0602,Polytrichum piliferum
SE0602,Pseudotaxiphyllum elegans
SE0602,Racomitrium aciculare
SE0602,Racomitrium fasciculare
SE0602,Rhytidiadelphus squarrosus
SE0602,Riccardia multifida
SE0602,Scapania undulata
SE0602,Seligeria recurvata
SE0602,Sphagnum denticulatum
SE0602,Sphagnum fallax
SE0602,Sphagnum fimbriatum
SE0602,Sphagnum palustre
SE0602,Sphagnum subnitens
SE0602,Straminergon stramineum
SE0602,Tetraphis pellucida
SE0702,Barbilophozia atlantica
SE0702,Dicranella rufescens
SE0702,Dicranoweisia cirrata
SE0702,Fissidens pusillus
SE0702,Jungermannia pumila
SE0702,Lophocolea bidentata
SE0702,Oligotrichum hercynicum
SE0702,Orthodontium lineare
SE0702,Pohlia wahlenbergii
SE0702,Racomitrium heterostichum
SE0702,Solenostoma sphaerocarpum
SE0702,Sphagnum papillosum
SE0702,Sphagnum russowii
SE0804,Aneura pinguis
SE0804,Aulacomnium palustre
SE0804,Barbilophozia floerkei
SE0804,Blindia acuta
SE0804,Brachythecium rivulare
SE0804,Bryum pseudotriquetrum
SE0804,Calliergonella cuspidata
SE0804,Campylopus flexuosus
SE0804,Campylopus introflexus
SE0804,Cephalozia bicuspidata
SE0804,Ceratodon purpureus
SE0804,Dichodontium palustre
SE0804,Dichodontium pellucidum
SE0804,Dicranella heteromalla
SE0804,Dicranum scoparium
SE0804,Diplophyllum albicans
SE0804,Fissidens taxifolius
SE0804,Gymnocolea inflata
SE0804,Hypnum jutlandicum
SE0804,Jungermannia pumila
SE0804,Lophocolea bidentata
SE0804,Mnium hornum
SE0804,Nardia compressa
SE0804,Nardia scalaris
SE0804,Oligotrichum hercynicum
SE0804,Pellia epiphylla
SE0804,Plagiothecium undulatum
SE0804,Pogonatum aloides
SE0804,Polytrichum commune
SE0804,Polytrichum formosum
SE0804,Polytrichum piliferum
SE0804,Pseudotaxiphyllum elegans
SE0804,Racomitrium fasciculare
SE0804,Rhytidiadelphus loreus
SE0804,Rhytidiadelphus squarrosus
SE0804,Riccardia multifida
SE0804,Scapania undulata
SE0804,Solenostoma sphaerocarpum
SE0804,Sphagnum denticulatum
SE0804,Sphagnum fallax
SE0804,Sphagnum fimbriatum
SE0804,Sphagnum inundatum
SE0804,Sphagnum papillosum
SE0804,Sphagnum quinquefarium
SE0804,Sphagnum russowii
SE0804,Sphagnum subnitens
SE0804,Straminergon stramineum
SE0900,Barbula convoluta
SE0900,Bryoerythrophyllum recurvirostrum
SE0900,Calliergonella cuspidata
SE0900,Ceratodon purpureus
SE0900,Cratoneuron filicinum
SE0900,Cryphaea heteromalla
SE0900,Dicranella heteromalla
SE0900,Didymodon insulanus
SE0900,Didymodon rigidulus
SE0900,Grimmia pulvinata
SE0900,Hypnum cupressiforme
SE0900,Ptychomitrium polyphyllum
SE0900,Racomitrium lanuginosum
SE0901,Andreaea rothii
SE0901,Atrichum crispum
SE0901,Barbilophozia atlantica
SE0901,Brachythecium rutabulum
SE0901,Bryum archangelicum
SE0901,Bryum capillare
SE0901,Bryum dichotomum
SE0901,Campylopus flexuosus
SE0901,Campylopus introflexus
SE0901,Dicranoweisia cirrata
SE0901,Dicranum scoparium
SE0901,Diplophyllum albicans
SE0901,Frullania dilatata
SE0901,Gymnocolea inflata
SE0901,Hygrohypnum ochraceum
SE0901,Hyocomium armoricum
SE0901,Hypnum jutlandicum
SE0901,Kindbergia praelonga
SE0901,Lophocolea bidentata
SE0901,Metzgeria furcata
SE0901,Metzgeria violacea
SE0901,Mnium hornum
SE0901,Nardia compressa
SE0901,Nardia scalaris
SE0901,Orthotrichum affine
SE0901,Orthotrichum diaphanum
SE0901,Orthotrichum pulchellum
SE0901,Pellia epiphylla
SE0901,Pogonatum aloides
SE0901,Pogonatum urnigerum
SE0901,Polytrichum commune
SE0901,Polytrichum formosum
SE0901,Polytrichum piliferum
SE0901,Pseudotaxiphyllum elegans
SE0901,Racomitrium aciculare
SE0901,Racomitrium aquaticum
SE0901,Rhytidiadelphus squarrosus
SE0901,Scapania undulata
SE0901,Schistidium crassipilum
SE0901,Sphagnum denticulatum
SE0901,Sphagnum fallax
SE0901,Sphagnum fimbriatum
SE0901,Sphagnum palustre
SE0901,Sphagnum squarrosum
SE0901,Straminergon stramineum
SE0901,Tortula muralis
SE0901,Ulota bruchii
SE0901,Ulota phyllantha
SE0903,Aneura pinguis
SE0903,Atrichum undulatum
SE0903,Barbilophozia atlantica
SE0903,Barbula unguiculata
SE0903,Blindia acuta
SE0903,Brachythecium albicans
SE0903,Bryum argenteum
SE0903,Bryum gemmiferum
SE0903,Bryum pseudotriquetrum
SE0903,Calliergonella cuspidata
SE0903,Campylopus flexuosus
SE0903,Campylopus introflexus
SE0903,Cephalozia bicuspidata
SE0903,Cratoneuron filicinum
SE0903,Ctenidium molluscum
SE0903,Dichodontium palustre
SE0903,Dichodontium pellucidum
SE0903,Dicranella heteromalla
SE0903,Dicranum scoparium
SE0903,Didymodon insulanus
SE0903,Didymodon tophaceus
SE0903,Diplophyllum albicans
SE0903,Fissidens adianthoides
SE0903,Fissidens bryoides
SE0903,Grimmia pulvinata
SE0903,Hypnum jutlandicum
SE0903,Jungermannia pumila
SE0903,Mnium hornum
SE0903,Nardia scalaris
SE0903,Oligotrichum hercynicum
SE0903,Pellia endiviifolia
SE0903,Pellia epiphylla
SE0903,Philonotis fontana
SE0903,Pogonatum aloides
SE0903,Pogonatum urnigerum
SE0903,Pohlia annotina
SE0903,Pohlia nutans
SE0903,Polytrichum commune
SE0903,Polytrichum formosum
SE0903,Polytrichum piliferum
SE0903,Racomitrium fasciculare
SE0903,Racomitrium lanuginosum
SE0903,Rhizomnium punctatum
SE0903,Scapania undulata
SE0903,Schistidium crassipilum
SE0903,Sciuro-hypnum populeum
SE0903,Seligeria recurvata
SE0903,Solenostoma gracillimum
SE0903,Solenostoma sphaerocarpum
SE0903,Sphagnum capillifolium
SE0903,Sphagnum denticulatum
SE0903,Sphagnum fallax
SE0903,Sphagnum fimbriatum
SE0903,Sphagnum girgensohnii
SE0903,Sphagnum palustre
SE0903,Sphagnum subnitens
SE0903,Straminergon stramineum
SE0903,Tetraplodon mnioides
SE1000,Kindbergia praelonga
SE1000,Lophocolea bidentata
SE1000,Pseudotaxiphyllum elegans
SE1000,Racomitrium aciculare
SE1000,Sphagnum fallax
SE1000,Tetraphis pellucida
SE1100,Atrichum crispum
SE1100,Barbilophozia atlantica
SE1100,Brachythecium rutabulum
SE1100,Bryum capillare
SE1100,Calliergonella cuspidata
SE1100,Campylopus flexuosus
SE1100,Campylopus introflexus
SE1100,Campylopus pyriformis
SE1100,Cephalozia bicuspidata
SE1100,Ceratodon purpureus
SE1100,Conocephalum conicum
SE1100,Ctenidium molluscum
SE1100,Dicranella heteromalla
SE1100,Dicranum scoparium
SE1100,Diplophyllum albicans
SE1100,Ditrichum heteromallum
SE1100,Gymnocolea inflata
SE1100,Hyocomium armoricum
SE1100,Hypnum jutlandicum
SE1100,Oligotrichum hercynicum
SE1100,Pellia epiphylla
SE1100,Philonotis fontana
SE1100,Pohlia nutans
SE1100,Polytrichum commune
SE1100,Polytrichum formosum
SE1100,Polytrichum juniperinum
SE1100,Polytrichum strictum
SE1100,Rhytidiadelphus squarrosus
SE1100,Sarmentypnum exannulatum
SE1100,Scapania undulata
SE1100,Schistidium crassipilum
SE1100,Solenostoma gracillimum
SE1100,Sphagnum denticulatum
SE1100,Sphagnum teres
SE1100,Tortula muralis
SE1101,Blindia acuta
SE1101,Brachythecium rivulare
SE1101,Bryum pseudotriquetrum
SE1101,Cratoneuron filicinum
SE1101,Dichodontium palustre
SE1101,Dichodontium pellucidum
SE1101,Dicranella rufescens
SE1101,Fissidens taxifolius
SE1101,Funaria hygrometrica
SE1101,Hygrohypnum ochraceum
SE1101,Hypnum andoi
SE1101,Hypnum cupressiforme
SE1101,Nardia compressa
SE1101,Palustriella commutata
SE1101,Pellia endiviifolia
SE1101,Philonotis fontana
SE1101,Plagiothecium succulentum
SE1101,Pleurozium schreberi
SE1101,Pogonatum aloides
SE1101,Pohlia annotina
SE1101,Polytrichum longisetum
SE1101,Pseudoscleropodium purum
SE1101,Racomitrium fasciculare
SE1101,Rhizomnium punctatum
SE1101,Solenostoma sphaerocarpum
SE1101,Sphagnum fimbriatum
SE1101,Sphagnum palustre
SJ1887,Atrichum undulatum
SJ1887,Bryum dichotomum
SJ1887,Bryum rubens
SJ1887,Bryum subapiculatum
SJ1887,Calypogeia arguta
SJ1887,Cephalozia bicuspidata
SJ1887,Cephaloziella divaricata
SJ1887,Dicranella heteromalla
SJ1887,Hennediella heimii
SJ1887,Hypnum cupressiforme
SJ1887,Hypnum jutlandicum
SJ1887,Kindbergia praelonga
SJ1887,Lophocolea bidentata
SJ1887,Lophocolea heterophylla
SJ1887,Mnium hornum
SJ1887,Pellia epiphylla
SJ1887,Schistidium maritimum
SJ1887,Tortella flavovirens
SJ1888,Amblystegium serpens
SJ1888,Brachythecium rutabulum
SJ1888,Bryum capillare
SJ1888,Calypogeia arguta
SJ1888,Campylopus introflexus
SJ1888,Ceratodon purpureus
SJ1888,Didymodon tophaceus
SJ1888,Hennediella heimii
SJ1888,Kindbergia praelonga
SJ1888,Lophocolea bidentata
SJ1888,Mnium hornum
SJ1888,Tortella flavovirens
SJ1888,Tortula muralis
SJ2087,Amblystegium serpens
SJ2087,Aneura pinguis
SJ2087,Barbula unguiculata
SJ2087,Brachythecium albicans
SJ2087,Brachythecium rutabulum
SJ2087,Bryoerythrophyllum recurvirostrum
SJ2087,Bryum archangelicum
SJ2087,Bryum argenteum
SJ2087,Bryum capillare
SJ2087,Bryum dichotomum
SJ2087,Calliergonella cuspidata
SJ2087,Ceratodon purpureus
SJ2087,Drepanocladus aduncus
SJ2087,Grimmia pulvinata
SJ2087,Hypnum cupressiforme
SJ2087,Kindbergia praelonga
SJ2087,Orthotrichum anomalum
SJ2087,Orthotrichum diaphanum
SJ2087,Pseudocrossidium hornschuchianum
SJ2087,Rhynchostegium confertum
SJ2087,Rhynchostegium megapolitanum
SJ2087,Riccardia incurvata
SJ2087,Riccardia multifida
SJ2087,Schistidium crassipilum
SJ2087,Syntrichia ruralis
SJ2087,Tortula muralis
SJ2088,Amblystegium serpens
SJ2088,Barbula convoluta
SJ2088,Barbula unguiculata
SJ2088,Brachythecium albicans
SJ2088,Brachythecium mildeanum
SJ2088,Brachythecium rivulare
SJ2088,Brachythecium rutabulum
SJ2088,Bryoerythrophyllum recurvirostrum
SJ2088,Bryum archangelicum
SJ2088,Bryum argenteum
SJ2088,Bryum capillare
SJ2088,Bryum dichotomum
SJ2088,Bryum radiculosum
SJ2088,Calliergonella cuspidata
SJ2088,Ceratodon purpureus
SJ2088,Grimmia pulvinata
SJ2088,Hypnum cupressiforme
SJ2088,Kindbergia praelonga
SJ2088,Lophocolea bidentata
SJ2088,Orthotrichum affine
SJ2088,Orthotrichum diaphanum
SJ2088,Rhynchostegium confertum
SJ2088,Rhynchostegium megapolitanum
SJ2088,Rhytidiadelphus squarrosus
SJ2088,Schistidium maritimum
SJ2088,Syntrichia latifolia
SJ2088,Syntrichia montana
SJ2088,Syntrichia ruralis
SJ2088,Tortella flavovirens
SJ2088,Tortula muralis
SJ2186,Amblystegium serpens
SJ2186,Atrichum undulatum
SJ2186,Barbula convoluta
SJ2186,Barbula unguiculata
SJ2186,Brachythecium rutabulum
SJ2186,Bryum argenteum
SJ2186,Bryum capillare
SJ2186,Bryum dichotomum
SJ2186,Bryum ruderale
SJ2186,Calliergonella cuspidata
SJ2186,Ceratodon purpureus
SJ2186,Cryphaea heteromalla
SJ2186,Dicranella staphylina
SJ2186,Didymodon insulanus
SJ2186,Didymodon nicholsonii
SJ2186,Fissidens taxifolius
SJ2186,Frullania dilatata
SJ2186,Funaria hygrometrica
SJ2186,Grimmia pulvinata
SJ2186,Hygroamblystegium tenax
SJ2186,Hypnum cupressiforme
SJ2186,Kindbergia praelonga
SJ2186,Lophocolea bidentata
SJ2186,Lophocolea heterophylla
SJ2186,Lunularia cruciata
SJ2186,Marchantia polymorpha
SJ2186,Metzgeria furcata
SJ2186,Metzgeria violacea
SJ2186,Orthotrichum affine
SJ2186,Orthotrichum diaphanum
SJ2186,Orthotrichum pulchellum
SJ2186,Orthotrichum tenellum
SJ2186,Oxyrrhynchium hians
SJ2186,Plagiomnium affine
SJ2186,Pohlia nutans
SJ2186,Pseudocrossidium hornschuchianum
SJ2186,Rhynchostegium confertum
SJ2186,Rhynchostegium riparioides
SJ2186,Rhytidiadelphus squarrosus
SJ2186,Schistidium crassipilum
SJ2186,Syntrichia ruralis
SJ2186,Tortula muralis
SJ2186,Tortula truncata
SJ2186,Ulota phyllantha
SJ2187,Amblystegium serpens
SJ2187,Atrichum undulatum
SJ2187,Brachythecium albicans
SJ2187,Brachythecium rutabulum
SJ2187,Bryum argenteum
SJ2187,Bryum capillare
SJ2187,Bryum dichotomum
SJ2187,Bryum radiculosum
SJ2187,Bryum rubens
SJ2187,Campylopus introflexus
SJ2187,Cephaloziella divaricata
SJ2187,Ceratodon purpureus
SJ2187,Dicranella heteromalla
SJ2187,Dicranoweisia cirrata
SJ2187,Didymodon insulanus
SJ2187,Didymodon nicholsonii
SJ2187,Didymodon rigidulus
SJ2187,Funaria hygrometrica
SJ2187,Grimmia pulvinata
SJ2187,Homalothecium sericeum
SJ2187,Hypnum cupressiforme
SJ2187,Kindbergia praelonga
SJ2187,Orthotrichum anomalum
SJ2187,Orthotrichum diaphanum
SJ2187,Polytrichum formosum
SJ2187,Polytrichum juniperinum
SJ2187,Polytrichum piliferum
SJ2187,Pseudocrossidium hornschuchianum
SJ2187,Pseudotaxiphyllum elegans
SJ2187,Rhynchostegium confertum
SJ2187,Rhynchostegium megapolitanum
SJ2187,Schistidium crassipilum
SJ2187,Syntrichia latifolia
SJ2187,Syntrichia montana
SJ2187,Tortula muralis
SJ2188,Barbula unguiculata
SJ2188,Brachythecium rutabulum
SJ2188,Bryum argenteum
SJ2188,Bryum capillare
SJ2188,Bryum dichotomum
SJ2188,Bryum rubens
SJ2188,Ceratodon purpureus
SJ2188,Didymodon insulanus
SJ2188,Grimmia pulvinata
SJ2188,Kindbergia praelonga
SJ2188,Orthotrichum affine
SJ2188,Orthotrichum anomalum
SJ2188,Orthotrichum diaphanum
SJ2188,Rhynchostegium confertum
SJ2188,Rhytidiadelphus squarrosus
SJ2188,Syntrichia latifolia
SJ2188,Syntrichia montana
SJ2188,Syntrichia ruralis
SJ2188,Tortula muralis
SJ2287,Amblystegium serpens
SJ2287,Atrichum undulatum
SJ2287,Barbula unguiculata
SJ2287,Brachythecium rutabulum
SJ2287,Bryum argenteum
SJ2287,Bryum capillare
SJ2287,Bryum dichotomum
SJ2287,Bryum klinggraeffii
SJ2287,Bryum radiculosum
SJ2287,Bryum rubens
SJ2287,Calliergonella cuspidata
SJ2287,Campylopus introflexus
SJ2287,Ceratodon purpureus
SJ2287,Dicranella schreberiana
SJ2287,Dicranum scoparium
SJ2287,Didymodon insulanus
SJ2287,Didymodon nicholsonii
SJ2287,Didymodon rigidulus
SJ2287,Didymodon tophaceus
SJ2287,Eurhynchium striatum
SJ2287,Frullania dilatata
SJ2287,Funaria hygrometrica
SJ2287,Homalothecium sericeum
SJ2287,Hypnum cupressiforme
SJ2287,Hypnum jutlandicum
SJ2287,Kindbergia praelonga
SJ2287,Lophocolea bidentata
